step,train_loss,test_loss,gap
99,3.4048516750335693,2.83817102432251,-0.5666806507110596
199,2.6161515712738037,2.8841112661361694,0.2679596948623657
299,2.6796796321868896,2.702589178085327,0.02290954589843741
399,2.360290050506592,2.7319975066185,0.37170745611190803
499,2.168694496154785,2.6647895622253417,0.49609506607055653
599,2.9462437629699707,2.6290909695625304,-0.3171527934074403
699,2.903280258178711,2.7522781610488893,-0.1510020971298216
799,2.5585343837738037,2.7909155440330506,0.23238116025924693
899,2.7178125381469727,2.941014313697815,0.2232017755508422
999,2.9783449172973633,2.5773172259330748,-0.4010276913642885
1099,2.4049742221832275,2.609501664638519,0.20452744245529164
1199,2.6055891513824463,2.5676057147979736,-0.037983436584472674
1299,2.281639337539673,2.5249493169784545,0.24330997943878163
1399,2.4529247283935547,2.531950867176056,0.07902613878250131
1499,2.2509450912475586,2.4822975111007692,0.23135241985321064
1599,3.721635341644287,2.6313336634635927,-1.0903016781806945
1699,2.0936527252197266,2.7188459730148313,0.6251932477951048
1799,2.4834837913513184,2.565792491436005,0.08230870008468649
1899,2.0423707962036133,2.530554804801941,0.4881840085983278
1999,3.1513400077819824,2.6045353174209596,-0.5468046903610229
2099,2.1472203731536865,2.507737717628479,0.36051734447479244
2199,6.303442478179932,2.5678474044799806,-3.735595073699951
2299,2.628835678100586,2.511436975002289,-0.11739870309829703
2399,2.0967607498168945,2.474740917682648,0.3779801678657533
2499,2.1410534381866455,2.4849199557304384,0.34386651754379294
2599,2.6616663932800293,2.5889541792869566,-0.0727122139930727
2699,2.079796314239502,2.5315711879730225,0.45177487373352054
2799,2.896932363510132,2.6615814685821535,-0.23535089492797834
2899,3.514317512512207,2.601457505226135,-0.912860007286072
2999,2.910648822784424,2.4747286200523377,-0.4359202027320861
